user_id,product_id,action,timestamp
1,13,purchase,2013-02-10T00:00:00
1,301,purchase,2013-02-10T00:00:00
1,301,purchase,2013-02-10T00:00:00
1,12,purchase,2013-02-10T00:00:00
1,301,purchase,2013-02-10T00:00:00
1,11,purchase,2013-02-10T00:00:00
1,301,purchase,2013-02-10T00:00:00
1,301,purchase,2013-02-10T00:00:00
1,304,purchase,2013-02-10T00:00:00
2,13,purchase,2013-01-06T00:00:00
2,301,purchase,2013-01-06T00:00:00
2,301,purchase,2013-01-06T00:00:00
2,12,purchase,2013-01-06T00:00:00
2,301,purchase,2013-01-06T00:00:00
2,11,purchase,2013-01-06T00:00:00
2,301,purchase,2013-01-06T00:00:00
2,301,purchase,2013-01-06T00:00:00
2,304,purchase,2013-01-06T00:00:00
3,3,view,2012-11-24T00:00:00
3,3,view,2012-11-24T00:00:00
3,3,view,2012-11-24T00:00:00
3,3,view,2012-11-24T00:00:00
3,3,view,2012-11-24T00:00:00
3,3,view,2012-11-24T00:00:00
3,51,view,2012-11-24T00:00:00
3,51,view,2012-11-24T00:00:00
3,3,view,2012-11-24T00:00:00
3,3,view,2012-11-24T00:00:00
3,3,view,2012-11-24T00:00:00
3,3,view,2012-11-24T00:00:00
4,3,purchase,2012-11-29T00:00:00
4,3,purchase,2012-11-29T00:00:00
4,3,purchase,2012-11-29T00:00:00
4,3,purchase,2012-11-29T00:00:00
4,3,purchase,2012-11-29T00:00:00
4,3,purchase,2012-11-29T00:00:00
4,51,purchase,2012-11-29T00:00:00
4,51,purchase,2012-11-29T00:00:00
4,3,purchase,2012-11-29T00:00:00
4,3,purchase,2012-11-29T00:00:00
4,3,purchase,2012-11-29T00:00:00
4,3,purchase,2012-11-29T00:00:00
5,102,purchase,2012-11-29T00:00:00
5,102,purchase,2012-11-29T00:00:00
5,102,purchase,2012-11-29T00:00:00
5,107,purchase,2012-11-29T00:00:00
5,102,purchase,2012-11-29T00:00:00
6,13,purchase,2012-12-11T00:00:00
6,301,purchase,2012-12-11T00:00:00
6,301,purchase,2012-12-11T00:00:00
6,12,purchase,2012-12-11T00:00:00
